...1,DATE,CV,SEM,ADNW1,ADNW2,ADNW3,SNS,AFF,DOUGA,BRAND,GT,SEM_lag1,SEM_lag2,Digital_Weighted,TV_Like_Weighted,SEM_TimeWeighted,GAMEPR230324,GAMEPR230727,INFLU230402,INFLU230404,INFLU230408,INFLU230821,CP230317,CP230421,CP230811,obon230812,GW230429,GW230430,INFLU_campaigns,GAMEPR_campaigns,CP_campaigns
75,2023-05-23,"220,4483196","29356,8",0,0,0,"4532,227321","17686,46148",0,"236,924747",60,29013,"23950,8","18871,09831",0,"27398,21787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2023-05-24,"205,6605517","18001,2",0,0,0,"4448,835297","19721,5923",0,"193,1120981",47,"29356,8",29013,"14659,6089",0,"24264,5925",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2023-05-25,"230,2594791",20151,0,0,0,"5404,222192","23827,93246",0,"254,1516013",61,"18001,2","29356,8","17039,71603",0,"22902,5383",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2023-05-26,"270,6467468",17865,0,0,0,"4959,371507","22750,63599",0,"219,9977051",64,20151,"18001,2","15642,96213",0,"18400,32926",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2023-05-27,"222,3582194",18591,0,0,0,"5427,324267","20163,5442",0,"207,6371151",68,17865,20151,"15254,54875",0,"18980,08475",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2023-05-28,"298,2228636","23528,4",0,0,0,"4542,905243","20455,98654",0,"242,9130106",71,18591,17865,"17251,85154",0,"20499,7808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2023-05-29,"263,6925355","32912,4",0,0,0,"4165,572262","30363,01001",0,"222,9647708",55,"23528,4",18591,"24204,10044",0,"25915,60217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2023-05-30,"179,4709335",20388,0,0,0,"4565,037342","14572,01056",0,"264,8732591",56,"32912,4","23528,4","14112,44291",0,"24155,84924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2023-05-31,"205,6855353",15165,0,0,0,"5020,425432","21088,506",0,"268,0954609",55,20388,"32912,4","13998,28902",0,"22468,57666",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2023-06-01,"211,9736594","13450,2",0,0,0,"4961,116373","24077,84455",0,"249,0872727",59,15165,20388,"14177,89424",0,"16235,5329",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2023-06-02,"275,0075191",14382,0,0,0,"3065,799446","13352,16216",0,"223,002712",67,"13450,2",15165,"10868,04594",0,"14456,20656",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2023-06-03,"276,8074612","18460,2",0,0,0,"7581,844456","16573,69472",0,"318,1971251",74,14382,"13450,2","14553,26293",0,"15842,79206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2023-06-04,"256,8938297","24595,2",0,0,0,"4525,385647","22631,27049",0,"322,7454752",68,"18460,2",14382,"18370,50623",0,"19724,37721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2023-06-05,"239,6369106",28206,0,0,0,"3827,584022","25324,34115",0,"226,4691518",53,"24595,2","18460,2","20583,40268",0,"24036,83658",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2023-06-06,"180,6722614","19580,4",0,0,0,"4690,690856","20202,20341",0,"325,0107133",58,28206,"24595,2","15529,41787",0,"23169,89763",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2023-06-07,"236,8341308","18107,4",0,0,0,"6788,232112","21421,32421",0,"229,406345",55,"19580,4",28206,"15726,48272",0,"21943,38729",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2023-06-08,"217,342027","17080,2",0,0,0,"4085,96601","16325,63004",0,"253,0945857",57,"18107,4","19580,4","13146,03762",0,"18171,29048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2023-06-09,"252,9289578",25836,0,0,0,"4620,855306","23570,43746",0,"265,5991216",55,"17080,2","18107,4","19206,6191",0,"21272,34385",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2023-06-10,"193,6740639",28974,0,0,0,"4112,489604","15320,39965",0,"290,5225881",76,25836,"17080,2","17890,86506",0,"24156,66776",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2023-06-11,"298,8987124","19413,6",0,0,0,"3083,425453","26415,32552",0,"264,8714231",72,28974,25836,"17028,47507",0,"23693,45142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2023-06-12,"333,7215744","20026,8",0,0,0,"6950,877049","18688,26421",0,"287,7609984",55,"19413,6",28974,"15734,63278",0,"23016,06829",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2023-06-13,"254,2893797",20436,0,0,0,"3282,970409","22744,85501",0,"205,17547",53,"20026,8","19413,6","16375,19925",0,"19992,13874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2023-06-14,"211,1169695","20422,2",0,0,0,"2746,261215","18872,687",0,"179,0181875",52,20436,"20026,8","15063,07949",0,"20287,25849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2023-06-15,"220,7276877","20746,2",0,0,0,"4615,253728","23654,84993",0,"277,8730605",56,"20422,2",20436,"17070,92866",0,"20568,88341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2023-06-16,"208,342695","22100,4",0,0,0,"5174,803063","22209,73106",0,"278,8984626",55,"20746,2","20422,2","17320,19547",0,"21226,18081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2023-06-17,"129,6547717","21575,4",0,0,0,"4566,703082","19328,4348",0,"202,0772487",70,"22100,4","20746,2","16080,86408",0,"21398,2711",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,2023-06-18,"256,1569711",21225,0,0,0,"4698,561169","28041,00182",0,"272,7818354",68,"21575,4","22100,4","18641,99816",0,"21605,05054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2023-06-19,"270,8966588","21613,8",0,0,0,"6823,54961","21502,7581",0,"300,8764006",57,21225,"21575,4","17247,44549",0,"21517,43893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2023-06-20,"200,6690099",21462,0,0,0,"6314,861947","21721,95769",0,"269,3121197",54,"21613,8",21225,"17142,06143",0,"21411,74597",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,2023-06-21,"273,9444159",21450,0,0,0,"4830,576144","18121,32501",0,"226,4470379",54,21462,"21613,8","15712,32259",0,"21509,68219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2023-06-22,"157,3583513","6166,8",0,0,0,"4114,781531","24050,70182",0,"290,0323816",56,21450,21462,"10897,55354",0,"14762,07775",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,2023-06-23,"86,71222797","11044,46985",0,0,0,"6782,125764","19961,94333",0,"201,871525",58,"6166,8",21450,"12277,95942",0,"13632,25797",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2023-06-24,"270,2579814","6233,286078",0,0,0,"4054,235104","19030,65486",0,"208,4569108",67,"11044,46985","6166,8","9367,678456",0,"7236,807913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,2023-06-25,"195,3748734","10601,69827",0,0,0,"8803,63781","22849,51511",0,"245,7074781",71,"6233,286078","11044,46985","13409,67947",0,"9823,884657",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2023-06-26,"196,3998353","9736,506192",0,0,0,"6243,25561","20215,98225",0,"194,3777851",55,"10601,69827","6233,286078","11686,10664",0,"8699,472803",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2023-06-27,"288,1514878","2586,810317",0,0,0,"6287,432497","26378,0476",0,"201,2632389",63,"9736,506192","10601,69827","10557,38465",0,"6907,559806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,2023-06-28,"176,0835579","10365,66393",0,0,0,"3752,49614","19028,70513",0,"230,2885098",60,"2586,810317","9736,506192","11056,84672",0,"8486,251541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2023-06-29,"211,0041479","7021,688382",0,0,0,"6168,724339","16733,04956",0,"206,3447905",61,"10365,66393","2586,810317","9445,794796",0,"6188,733965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,2023-06-30,"205,21183","10523,02925","16382,35305",0,0,"3317,021891","24152,44585",0,"264,0047855",63,"7021,688382","10365,66393","12607,93795","7317,71439","9720,965172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2023-07-01,"284,8331242","6949,02885","16925,79433",0,0,"1636,586729","23769,74185",0,"256,0823702",72,"10523,02925","7021,688382","10614,91435","7560,460228","7737,059335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,2023-07-02,"285,9407643","7150,073791","19857,92794",0,0,"3161,749318","18485,63448",0,"259,440589",64,"6949,02885","10523,02925","9398,848814","8870,193711","8283,409543",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,2023-07-03,"273,4238204","11961,64978","14828,27217",0,0,"4985,448994","19278,225",0,"242,577513",53,"7150,073791","6949,02885","12073,88863","6623,533279","9186,825311",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,2023-07-04,"173,5386081","11101,4747","14539,84866",0,0,"5239,380824","21481,16897",0,"277,6229236",61,"11961,64978","7150,073791","12440,96579","6494,699476","9907,078189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,2023-07-05,"237,846133","5333,861756","15583,08001",0,0,"2622,333467","20181,53514",0,"301,6447183",59,"11101,4747","11961,64978","9034,953586","6960,692917","8875,956128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2023-07-06,"216,0508867","5509,828518","15442,0765",0,0,"5249,316599","20943,63486",0,"189,4113983",49,"5333,861756","11101,4747","9904,129309","6897,709082","7422,232088",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2023-07-07,"222,6770515","14609,26162","12511,87102",0,0,"5938,145604","21148,50991",0,"245,0509844",58,"5509,828518","5333,861756","13976,46231","5588,836861","9432,864095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,2023-07-08,"261,1797608","11599,75729","16500,08714",0,0,"4666,617441","12630,47812",0,"225,7483763",83,"14609,26162","5509,828518","9806,115804","7370,304175","10118,26672",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,2023-07-09,"221,3267143","9757,986183","14947,87072",0,0,"6744,303518","15679,97975",0,"229,249852",60,"11599,75729","14609,26162","10405,81474","6676,955889","11842,78844",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,2023-07-10,"209,372589","6348,816916","15691,71461",0,0,"5908,522452","15890,60735",0,"220,6744699",55,"9757,986183","11599,75729","8845,41375","7009,218115","8907,475889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2023-07-11,"245,3498114","10747,86316","17904,04683",0,0,"5798,673682","17656,19805",0,"250,7111504",53,"6348,816916","9757,986183","11232,73061","7997,428738","9463,909799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2023-07-12,"171,8199084","8707,264007","14289,83312",0,0,"3528,484866","14604,99112",0,"243,5170273",52,"10747,86316","6348,816916","8943,518881","6383,021846","8320,27528",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2023-07-13,"222,7216776","7697,588464","12005,45528",0,0,"3985,153979","25341,91713",0,"278,6745943",52,"8707,264007","10747,86316","11917,14411","5362,629687","8976,764821",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2023-07-14,"230,2756318",9195,"13761,13475",0,0,"6329,178303","22153,35376",0,"206,1224063",55,"7697,588464","8707,264007","12070,89674","6146,861411","8705,36573",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
